,dateIDd,Weekday,Holiday,Duration,Volume,dateIDd,Weekday,Holiday,Duration,Volume
0,20170415,0,0,1038.814789687924,10318,20170415,0,0,1038.814789687924,10318
1,20170416,0,0,766.5969144460028,3565,20170416,0,0,766.5969144460028,3565
2,20170417,1,1,748.0117679255611,7308,20170417,1,1,748.0117679255611,7308
3,20170418,1,0,765.009148132606,11915,20170418,1,0,765.009148132606,11915
4,20170419,1,0,671.6441245396719,5974,20170419,1,0,671.6441245396719,5974
5,20170420,1,0,721.2450779510021,11225,20170420,1,0,721.2450779510021,11225
6,20170421,1,0,660.8386607880958,7258,20170421,1,0,660.8386607880958,7258
7,20170422,0,0,738.5495505745819,8789,20170422,0,0,738.5495505745819,8789
8,20170423,0,0,973.2419979905268,13934,20170423,0,0,973.2419979905268,13934
9,20170424,1,0,724.3338936045047,11899,20170424,1,0,724.3338936045047,11899
10,20170425,1,0,677.1450154271731,9399,20170425,1,0,677.1450154271731,9399
11,20170426,1,0,722.9855435781732,11967,20170426,1,0,722.9855435781732,11967
12,20170427,1,0,832.7116551469425,18953,20170427,1,0,832.7116551469425,18953
13,20170428,1,0,821.5650393533292,18804,20170428,1,0,821.5650393533292,18804
14,20170429,0,0,893.0407529025449,17054,20170429,0,0,893.0407529025449,17054
15,20170430,0,0,651.1269115335142,6997,20170430,0,0,651.1269115335142,6997
16,20170501,1,0,585.2321954090643,3398,20170501,1,0,585.2321954090643,3398
17,20170502,1,0,744.2365470852018,15164,20170502,1,0,744.2365470852018,15164
18,20170503,1,0,719.3328962894979,15254,20170503,1,0,719.3328962894979,15254
19,20170504,1,0,787.5621301775147,18421,20170504,1,0,787.5621301775147,18421
20,20170505,1,0,601.6425679583574,5187,20170505,1,0,601.6425679583574,5187
21,20170506,0,0,840.9761070404587,12556,20170506,0,0,840.9761070404587,12556
22,20170507,0,0,689.9857927411654,8376,20170507,0,0,689.9857927411654,8376
23,20170508,1,0,656.0863781781445,11878,20170508,1,0,656.0863781781445,11878
24,20170509,1,0,675.0389459968147,13814,20170509,1,0,675.0389459968147,13814
25,20170510,1,0,710.6033879580187,16293,20170510,1,0,710.6033879580187,16293
26,20170511,1,0,726.6148496017122,16822,20170511,1,0,726.6148496017122,16822
27,20170512,1,0,807.4431834438034,20971,20170512,1,0,807.4431834438034,20971
28,20170513,0,0,836.5715499215892,15304,20170513,0,0,836.5715499215892,15304
29,20170514,0,0,676.3827448825388,7279,20170514,0,0,676.3827448825388,7279
30,20170515,1,0,762.6927810130754,18202,20170515,1,0,762.6927810130754,18202
31,20170516,1,0,845.9558335460813,23502,20170516,1,0,845.9558335460813,23502
32,20170517,1,0,889.7835633626097,25504,20170517,1,0,889.7835633626097,25504
33,20170518,1,0,831.6237439050244,23585,20170518,1,0,831.6237439050244,23585
34,20170519,1,0,806.0158730158729,22239,20170519,1,0,806.0158730158729,22239
35,20170520,0,0,1005.7372049102928,21180,20170520,0,0,1005.7372049102928,21180
36,20170521,0,0,992.5823577906018,18195,20170521,0,0,992.5823577906018,18195
37,20170522,1,1,667.9789071347677,7064,20170522,1,1,667.9789071347677,7064
38,20170523,1,0,838.0061179832984,22393,20170523,1,0,838.0061179832984,22393
39,20170524,1,0,825.8786525296376,23956,20170524,1,0,825.8786525296376,23956
40,20170525,1,0,729.1631233595799,15240,20170525,1,0,729.1631233595799,15240
41,20170526,1,0,688.0285447895001,13943,20170526,1,0,688.0285447895001,13943
42,20170527,0,0,990.9133755274263,23700,20170527,0,0,990.9133755274263,23700
43,20170528,0,0,1094.2080598699254,33673,20170528,0,0,1094.2080598699254,33673
44,20170529,1,0,726.5745594418105,11179,20170529,1,0,726.5745594418105,11179
45,20170530,1,0,709.9006660323503,15765,20170530,1,0,709.9006660323503,15765
46,20170531,1,0,791.3141136374247,21419,20170531,1,0,791.3141136374247,21419
47,20170601,1,0,776.8964365745419,22759,20170601,1,0,776.8964365745419,22759
48,20170602,1,0,737.4238655833748,18093,20170602,1,0,737.4238655833748,18093
49,20170603,0,0,851.6826309067688,17226,20170603,0,0,851.6826309067688,17226
50,20170604,0,0,968.0308100289296,20740,20170604,0,0,968.0308100289296,20740
51,20170605,1,0,678.5353284490253,8053,20170605,1,0,678.5353284490253,8053
52,20170606,1,0,720.1014931680519,14198,20170606,1,0,720.1014931680519,14198
53,20170607,1,0,854.4805454820188,26472,20170607,1,0,854.4805454820188,26472
54,20170608,1,0,853.5767406768699,27834,20170608,1,0,853.5767406768699,27834
55,20170609,1,0,828.5842641509433,26500,20170609,1,0,828.5842641509433,26500
56,20170610,0,0,941.4036576168927,26520,20170610,0,0,941.4036576168927,26520
57,20170611,0,0,931.7211117628481,22163,20170611,0,0,931.7211117628481,22163
58,20170612,1,0,823.7172202611322,23513,20170612,1,0,823.7172202611322,23513
59,20170613,1,0,824.4688689809632,26790,20170613,1,0,824.4688689809632,26790
60,20170614,1,0,809.1023235031278,26856,20170614,1,0,809.1023235031278,26856
61,20170615,1,0,818.7188308886972,27816,20170615,1,0,818.7188308886972,27816
62,20170616,1,0,725.4702964157261,16126,20170616,1,0,725.4702964157261,16126
63,20170617,0,0,929.2013444693421,24545,20170617,0,0,929.2013444693421,24545
64,20170618,0,0,877.7611413169757,21519,20170618,0,0,877.7611413169757,21519
65,20170619,1,0,781.9262534264744,22618,20170619,1,0,781.9262534264744,22618
66,20170620,1,0,778.5710336657123,20258,20170620,1,0,778.5710336657123,20258
67,20170621,1,0,782.3798712159224,23916,20170621,1,0,782.3798712159224,23916
68,20170622,1,0,818.0104264336346,26663,20170622,1,0,818.0104264336346,26663
69,20170623,1,0,753.5046528274875,13970,20170623,1,0,753.5046528274875,13970
70,20170624,0,1,1020.1714793222807,21956,20170624,0,1,1020.1714793222807,21956
71,20170625,0,0,922.3721654458528,22799,20170625,0,0,922.3721654458528,22799
72,20170626,1,0,855.1756739381991,23333,20170626,1,0,855.1756739381991,23333
73,20170627,1,0,780.8914466050958,21547,20170627,1,0,780.8914466050958,21547
74,20170628,1,0,783.2544826725465,24037,20170628,1,0,783.2544826725465,24037
75,20170629,1,0,722.3511407273547,17708,20170629,1,0,722.3511407273547,17708
76,20170630,1,0,761.9594155844156,17248,20170630,1,0,761.9594155844156,17248
77,20170701,0,1,894.1395758472487,14193,20170701,0,1,894.1395758472487,14193
78,20170702,0,0,982.014170886958,21523,20170702,0,0,982.014170886958,21523
79,20170703,1,1,913.983373718546,26825,20170703,1,1,913.983373718546,26825
80,20170704,1,0,865.3399613179057,29471,20170704,1,0,865.3399613179057,29471
81,20170705,1,0,848.8873620862587,29910,20170705,1,0,848.8873620862587,29910
82,20170706,1,0,831.221764767454,28661,20170706,1,0,831.221764767454,28661
83,20170707,1,0,803.4543125180808,24197,20170707,1,0,803.4543125180808,24197
84,20170708,0,0,913.204184738573,20981,20170708,0,0,913.204184738573,20981
85,20170709,0,0,934.9822474780847,22701,20170709,0,0,934.9822474780847,22701
86,20170710,1,0,792.5102166366393,22757,20170710,1,0,792.5102166366393,22757
87,20170711,1,0,820.3861771711597,26449,20170711,1,0,820.3861771711597,26449
88,20170712,1,0,783.0606330446045,24706,20170712,1,0,783.0606330446045,24706
89,20170713,1,0,801.9570969039003,24870,20170713,1,0,801.9570969039003,24870
90,20170714,1,0,759.2672114511563,18723,20170714,1,0,759.2672114511563,18723
91,20170715,0,0,951.204466987767,23461,20170715,0,0,951.204466987767,23461
92,20170716,0,0,935.1091597481983,21922,20170716,0,0,935.1091597481983,21922
93,20170717,1,0,803.5353801554883,22767,20170717,1,0,803.5353801554883,22767
94,20170718,1,0,832.8382162483812,28569,20170718,1,0,832.8382162483812,28569
95,20170719,1,0,815.4037589614417,25805,20170719,1,0,815.4037589614417,25805
96,20170720,1,0,801.3152023876142,26805,20170720,1,0,801.3152023876142,26805
97,20170721,1,0,814.52170313424,25365,20170721,1,0,814.52170313424,25365
98,20170722,0,0,972.8614635251472,26484,20170722,0,0,972.8614635251472,26484
99,20170723,0,0,958.6283594394064,24260,20170723,0,0,958.6283594394064,24260
100,20170724,1,0,631.163218641115,9184,20170724,1,0,631.163218641115,9184
101,20170725,1,0,814.2981599088098,24564,20170725,1,0,814.2981599088098,24564
102,20170726,1,0,828.738097896892,26865,20170726,1,0,828.738097896892,26865
103,20170727,1,0,798.7709641959799,25472,20170727,1,0,798.7709641959799,25472
104,20170728,1,0,876.1364965536447,28726,20170728,1,0,876.1364965536447,28726
105,20170729,0,0,1022.2277396738302,32805,20170729,0,0,1022.2277396738302,32805
106,20170730,0,0,1034.1239010140164,35601,20170730,0,0,1034.1239010140164,35601
107,20170731,1,0,810.9522873481058,22384,20170731,1,0,810.9522873481058,22384
108,20170801,1,0,849.3113735465117,27520,20170801,1,0,849.3113735465117,27520
109,20170802,1,0,830.2581550851528,27069,20170802,1,0,830.2581550851528,27069
110,20170803,1,0,826.1451531712929,27812,20170803,1,0,826.1451531712929,27812
111,20170804,1,0,767.7226292330548,19519,20170804,1,0,767.7226292330548,19519
112,20170805,0,0,928.3734281932497,18132,20170805,0,0,928.3734281932497,18132
113,20170806,0,0,951.104429325848,21019,20170806,0,0,951.104429325848,21019
114,20170807,1,0,823.1820070377751,23587,20170807,1,0,823.1820070377751,23587
115,20170808,1,0,839.8861106041247,27395,20170808,1,0,839.8861106041247,27395
116,20170809,1,0,826.2231708203152,27526,20170809,1,0,826.2231708203152,27526
117,20170810,1,0,821.6375239076064,27188,20170810,1,0,821.6375239076064,27188
118,20170811,1,0,833.5915675116398,27062,20170811,1,0,833.5915675116398,27062
119,20170812,0,0,887.5828582959189,19823,20170812,0,0,887.5828582959189,19823
120,20170813,0,0,936.2679003804911,23128,20170813,0,0,936.2679003804911,23128
121,20170814,1,0,840.5564193260001,25727,20170814,1,0,840.5564193260001,25727
122,20170815,1,0,779.5248365701198,20957,20170815,1,0,779.5248365701198,20957
123,20170816,1,0,824.4414453793756,27453,20170816,1,0,824.4414453793756,27453
124,20170817,1,0,822.8229987899234,27271,20170817,1,0,822.8229987899234,27271
125,20170818,1,0,757.3795086251961,17217,20170818,1,0,757.3795086251961,17217
126,20170819,0,0,903.4940105820107,23625,20170819,0,0,903.4940105820107,23625
127,20170820,0,0,920.4445581560916,22474,20170820,0,0,920.4445581560916,22474
128,20170821,1,0,833.100521612551,24731,20170821,1,0,833.100521612551,24731
129,20170822,1,0,744.7347816374399,17906,20170822,1,0,744.7347816374399,17906
130,20170823,1,0,779.4318144833197,24580,20170823,1,0,779.4318144833197,24580
131,20170824,1,0,789.2844185037661,25357,20170824,1,0,789.2844185037661,25357
132,20170825,1,0,809.876988625259,25583,20170825,1,0,809.876988625259,25583
133,20170826,0,0,883.4173410404625,20760,20170826,0,0,883.4173410404625,20760
134,20170827,0,0,967.2754397344424,26209,20170827,0,0,967.2754397344424,26209
135,20170828,1,0,823.52728,25000,20170828,1,0,823.52728,25000
136,20170829,1,0,804.0364403528961,26070,20170829,1,0,804.0364403528961,26070
137,20170830,1,0,811.7840161483252,26752,20170830,1,0,811.7840161483252,26752
138,20170831,1,0,740.1585869004642,23268,20170831,1,0,740.1585869004642,23268
139,20170901,1,0,759.7207648254202,21652,20170901,1,0,759.7207648254202,21652
140,20170902,0,0,953.3659965321714,21339,20170902,0,0,953.3659965321714,21339
141,20170903,0,0,665.3821608040201,3980,20170903,0,0,665.3821608040201,3980
142,20170904,1,1,873.4910336334949,12993,20170904,1,1,873.4910336334949,12993
143,20170905,1,0,736.8397542498152,21648,20170905,1,0,736.8397542498152,21648
144,20170906,1,0,721.9462018009697,21655,20170906,1,0,721.9462018009697,21655
145,20170907,1,0,709.0137694666588,16631,20170907,1,0,709.0137694666588,16631
146,20170908,1,0,740.8294293207922,22114,20170908,1,0,740.8294293207922,22114
147,20170909,0,0,828.2518124697922,18621,20170909,0,0,828.2518124697922,18621
148,20170910,0,0,865.2473958333335,18432,20170910,0,0,865.2473958333335,18432
149,20170911,1,0,772.6460807600951,23155,20170911,1,0,772.6460807600951,23155
150,20170912,1,0,769.6272028000486,24571,20170912,1,0,769.6272028000486,24571
151,20170913,1,0,760.9217391304347,25300,20170913,1,0,760.9217391304347,25300
152,20170914,1,0,779.1381247578457,25810,20170914,1,0,779.1381247578457,25810
153,20170915,1,0,785.440952708644,26157,20170915,1,0,785.440952708644,26157
154,20170916,0,0,874.9271065634701,22869,20170916,0,0,874.9271065634701,22869
155,20170917,0,0,878.056620379425,20452,20170917,0,0,878.056620379425,20452
156,20170918,1,0,768.1898523512845,23434,20170918,1,0,768.1898523512845,23434
157,20170919,1,0,758.9156558533145,24815,20170919,1,0,758.9156558533145,24815
158,20170920,1,0,745.238340302348,24872,20170920,1,0,745.238340302348,24872
159,20170921,1,0,769.3205614419205,25577,20170921,1,0,769.3205614419205,25577
160,20170922,1,0,790.5720892588738,25947,20170922,1,0,790.5720892588738,25947
161,20170923,0,0,891.4438058183748,22618,20170923,0,0,891.4438058183748,22618
162,20170924,0,0,887.037987768111,23218,20170924,0,0,887.037987768111,23218
163,20170925,1,0,755.0951156812338,22562,20170925,1,0,755.0951156812338,22562
164,20170926,1,0,753.6476285905144,23952,20170926,1,0,753.6476285905144,23952
165,20170927,1,0,718.0617931565523,20779,20170927,1,0,718.0617931565523,20779
166,20170928,1,0,714.8045129189944,22912,20170928,1,0,714.8045129189944,22912
167,20170929,1,0,704.7306242530109,21754,20170929,1,0,704.7306242530109,21754
168,20170930,0,0,794.6137229231135,16804,20170930,0,0,794.6137229231135,16804
169,20171001,0,0,801.0981277386801,15062,20171001,0,0,801.0981277386801,15062
170,20171002,1,0,747.3144939044327,21409,20171002,1,0,747.3144939044327,21409
171,20171003,1,0,745.0106954264745,22346,20171003,1,0,745.0106954264745,22346
172,20171004,1,0,696.6643457117597,18096,20171004,1,0,696.6643457117597,18096
173,20171005,1,0,716.0953441953302,21543,20171005,1,0,716.0953441953302,21543
174,20171006,1,0,750.6818517492846,21666,20171006,1,0,750.6818517492846,21666
175,20171007,0,0,773.0101724137932,11600,20171007,0,0,773.0101724137932,11600
176,20171008,0,0,825.5504910988336,13032,20171008,0,0,825.5504910988336,13032
177,20171009,1,1,641.4817850637522,4392,20171009,1,1,641.4817850637522,4392
178,20171010,1,0,730.2916001740898,20679,20171010,1,0,730.2916001740898,20679
179,20171011,1,0,680.3341545712602,18671,20171011,1,0,680.3341545712602,18671
180,20171012,1,0,713.4664484451719,19552,20171012,1,0,713.4664484451719,19552
181,20171013,1,0,725.3960924517851,19859,20171013,1,0,725.3960924517851,19859
182,20171014,0,0,749.0325181035661,14638,20171014,0,0,749.0325181035661,14638
183,20171015,0,0,693.3981623277182,9142,20171015,0,0,693.3981623277182,9142
184,20171016,1,0,657.112539556962,15168,20171016,1,0,657.112539556962,15168
185,20171017,1,0,671.2584276463112,16523,20171017,1,0,671.2584276463112,16523
186,20171018,1,0,711.9957124183006,19125,20171018,1,0,711.9957124183006,19125
187,20171019,1,0,721.3530997304582,19292,20171019,1,0,721.3530997304582,19292
188,20171020,1,0,720.5262651334785,19741,20171020,1,0,720.5262651334785,19741
189,20171021,0,0,827.2303765539607,16651,20171021,0,0,827.2303765539607,16651
190,20171022,0,0,830.6661700975081,14768,20171022,0,0,830.6661700975081,14768
191,20171023,1,0,740.1033405172412,18560,20171023,1,0,740.1033405172412,18560
192,20171024,1,0,630.966013712047,10210,20171024,1,0,630.966013712047,10210
193,20171025,1,0,704.4174180545242,18854,20171025,1,0,704.4174180545242,18854
194,20171026,1,0,629.8990466462377,11748,20171026,1,0,629.8990466462377,11748
195,20171027,1,0,685.4436927498056,16703,20171027,1,0,685.4436927498056,16703
196,20171028,0,0,807.6905465288036,14894,20171028,0,0,807.6905465288036,14894
197,20171029,0,0,652.6957399926551,5446,20171029,0,0,652.6957399926551,5446
198,20171030,1,0,607.9259529454678,10966,20171030,1,0,607.9259529454678,10966
199,20171031,1,0,654.9659048886916,13521,20171031,1,0,654.9659048886916,13521
200,20171101,1,0,647.1190383568039,12853,20171101,1,0,647.1190383568039,12853
201,20171102,1,0,591.9567409334851,6149,20171102,1,0,591.9567409334851,6149
202,20171103,1,0,647.0815626021575,12236,20171103,1,0,647.0815626021575,12236
203,20171104,0,0,700.3427331887202,9220,20171104,0,0,700.3427331887202,9220
204,20171105,0,0,565.5975948196115,4324,20171105,0,0,565.5975948196115,4324
205,20171106,1,0,624.066172221152,10382,20171106,1,0,624.066172221152,10382
206,20171107,1,0,631.4463507867366,11249,20171107,1,0,631.4463507867366,11249
207,20171108,1,0,625.6848928476937,11339,20171108,1,0,625.6848928476937,11339
208,20171109,1,0,627.2326178682811,10902,20171109,1,0,627.2326178682811,10902
209,20171110,1,0,545.1537138389367,6395,20171110,1,0,545.1537138389367,6395
210,20171111,0,0,579.6744833068362,5032,20171111,0,0,579.6744833068362,5032
211,20171112,0,0,634.9636544190664,5035,20171112,0,0,634.9636544190664,5035
212,20171113,1,0,594.0305295950155,8025,20171113,1,0,594.0305295950155,8025
213,20171114,1,0,607.7335461149021,9086,20171114,1,0,607.7335461149021,9086
214,20171115,1,0,629.5565707000956,9413,20171115,1,0,629.5565707000956,9413
215,20180410,1,0,604.0541095890411,2920,20180410,1,0,604.0541095890411,2920
216,20180411,1,0,686.5038751228033,9161,20180411,1,0,686.5038751228033,9161
217,20180412,1,0,674.9088930009798,9187,20180412,1,0,674.9088930009798,9187
218,20180413,1,0,688.0757263972342,12149,20180413,1,0,688.0757263972342,12149
219,20180414,0,0,624.1340585261223,6527,20180414,0,0,624.1340585261223,6527
220,20180415,0,0,556.9982653946228,3459,20180415,0,0,556.9982653946228,3459
221,20180416,1,0,538.9681353265146,2542,20180416,1,0,538.9681353265146,2542
222,20180417,1,0,589.144204851752,5936,20180417,1,0,589.144204851752,5936
223,20180418,1,0,607.4651395529856,8993,20180418,1,0,607.4651395529856,8993
224,20180419,1,0,626.957769459641,10419,20180419,1,0,626.957769459641,10419
225,20180420,1,0,650.7157163624616,12382,20180420,1,0,650.7157163624616,12382
226,20180421,0,0,841.3417317708332,15360,20180421,0,0,841.3417317708332,15360
227,20180422,0,0,915.8400478182904,16730,20180422,0,0,915.8400478182904,16730
228,20180423,1,0,807.310467327129,19986,20180423,1,0,807.310467327129,19986
229,20180424,1,0,805.087479718767,22188,20180424,1,0,805.087479718767,22188
230,20180425,1,0,618.4558690890349,7761,20180425,1,0,618.4558690890349,7761
231,20180426,1,0,594.3860103626943,6948,20180426,1,0,594.3860103626943,6948
232,20180427,1,0,745.5469419354838,19375,20180427,1,0,745.5469419354838,19375
233,20180428,0,0,820.1359776807375,16488,20180428,0,0,820.1359776807375,16488
234,20180429,0,0,636.8122688710029,4597,20180429,0,0,636.8122688710029,4597
235,20180430,1,0,664.1335938887903,11258,20180430,1,0,664.1335938887903,11258
236,20180501,1,0,800.6036618691928,21956,20180501,1,0,800.6036618691928,21956
237,20180502,1,0,791.762476854842,23223,20180502,1,0,791.762476854842,23223
238,20180503,1,0,702.24371357867,12527,20180503,1,0,702.24371357867,12527
239,20180504,1,0,728.0122195642335,15467,20180504,1,0,728.0122195642335,15467
240,20180505,0,0,920.49985126004,23531,20180505,0,0,920.49985126004,23531
241,20180506,0,0,915.8167418812494,22602,20180506,0,0,915.8167418812494,22602
242,20180507,1,0,810.9851732540371,24213,20180507,1,0,810.9851732540371,24213
243,20180508,1,0,853.5975816789661,28863,20180508,1,0,853.5975816789661,28863
244,20180509,1,0,868.0577521845391,29869,20180509,1,0,868.0577521845391,29869
245,20180510,1,0,759.3770741150443,21696,20180510,1,0,759.3770741150443,21696
246,20180511,1,0,769.3967098619992,23768,20180511,1,0,769.3967098619992,23768
247,20180512,0,0,891.7089256865912,24760,20180512,0,0,891.7089256865912,24760
248,20180513,0,0,926.9746503496505,22880,20180513,0,0,926.9746503496505,22880
249,20180514,1,0,846.4496756796153,27442,20180514,1,0,846.4496756796153,27442
250,20180515,1,0,757.0531409958121,21490,20180515,1,0,757.0531409958121,21490
251,20180516,1,0,812.4872380161861,28914,20180516,1,0,812.4872380161861,28914
252,20180517,1,0,783.900143440362,27189,20180517,1,0,783.900143440362,27189
253,20180518,1,0,807.5351944384097,27618,20180518,1,0,807.5351944384097,27618
254,20180519,0,0,802.0554468362687,13797,20180519,0,0,802.0554468362687,13797
255,20180520,0,0,923.5170927612892,20418,20180520,0,0,923.5170927612892,20418
256,20180521,1,1,942.529879831114,24632,20180521,1,1,942.529879831114,24632
257,20180522,1,0,739.3511158966327,20432,20180522,1,0,739.3511158966327,20432
258,20180523,1,0,789.8392241529407,28717,20180523,1,0,789.8392241529407,28717
259,20180524,1,0,804.8625708696661,30161,20180524,1,0,804.8625708696661,30161
260,20180525,1,0,817.1608001083058,29546,20180525,1,0,817.1608001083058,29546
261,20180526,0,0,873.7751044204663,22984,20180526,0,0,873.7751044204663,22984
262,20180527,0,0,902.1913125745548,24311,20180527,0,0,902.1913125745548,24311
263,20180528,1,0,779.9106296024984,25937,20180528,1,0,779.9106296024984,25937
264,20180529,1,0,836.8117478159936,32738,20180529,1,0,836.8117478159936,32738
265,20180530,1,0,827.6335956106237,33171,20180530,1,0,827.6335956106237,33171
266,20180531,1,0,813.8092105263157,32072,20180531,1,0,813.8092105263157,32072
267,20180601,1,0,813.3647411807492,32996,20180601,1,0,813.3647411807492,32996
268,20180602,0,0,922.520277100553,33634,20180602,0,0,922.520277100553,33634
269,20180603,0,0,934.0932707562137,30256,20180603,0,0,934.0932707562137,30256
270,20180604,1,0,623.9757497656982,8536,20180604,1,0,623.9757497656982,8536
271,20180605,1,0,754.8937410155795,25739,20180605,1,0,754.8937410155795,25739
272,20180606,1,0,779.3671875,28800,20180606,1,0,779.3671875,28800
273,20180607,1,0,803.5,31000,20180607,1,0,803.5,31000
274,20180608,1,0,829.054803204057,34706,20180608,1,0,829.054803204057,34706
275,20180609,0,0,927.093921667607,33677,20180609,0,0,927.093921667607,33677
276,20180610,0,0,918.2656084281977,28286,20180610,0,0,918.2656084281977,28286
277,20180611,1,0,843.8532539480387,31408,20180611,1,0,843.8532539480387,31408
278,20180612,1,0,827.2568873633818,33213,20180612,1,0,827.2568873633818,33213
279,20180613,1,0,753.1405462629684,23615,20180613,1,0,753.1405462629684,23615
280,20180614,1,0,682.4547343741674,18767,20180614,1,0,682.4547343741674,18767
281,20180615,1,0,808.8794483585671,33355,20180615,1,0,808.8794483585671,33355
282,20180616,0,0,887.5325015353784,30937,20180616,0,0,887.5325015353784,30937
283,20180617,0,0,881.7579011499506,26262,20180617,0,0,881.7579011499506,26262
